GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,DP0010001,DP0020001,DP0020002,DP0020003,DP0080001,DP0080002,DP0080003,DP0080004,DP0080005,DP0080006,DP0080007,DP0080008,DP0080009,DP0080010,DP0080011,DP0080012,DP0080013,DP0080014,DP0080015,DP0080016,DP0080017,DP0080018,DP0080019,DP0080020,DP0080021,DP0080022,DP0080023,DP0080024,DP0120015,DP0120016,DP0120017,DP0120018,DP0120019,DP0120020,DP0160001
17031842900,Census Tract 8429,2208291.0,0.0,+41.8631389,-087.6729379,2341,32.5,30.5,34.6,2341,2291,343,1862,2,25,15,0,8,0,2,0,0,0,0,0,0,0,59,50,0,6,26,7,0,0,0,0,0,0,2.09
17031841900,Census Tract 8419,2564980.0,0.0,+41.8678920,-087.6429686,4865,26.8,28.9,24.7,4865,4646,2601,815,16,1042,336,240,135,23,177,26,105,6,1,0,1,4,166,219,10,74,39,29,0,0,0,1784,845,939,1.89
17031843100,Census Tract 8431,952596.0,60082.0,+41.8602975,-087.7008925,1892,32.1,30.1,34.4,1892,1878,111,1727,3,12,1,10,1,0,0,0,0,0,0,0,0,0,25,14,0,0,4,1,171,119,52,3,3,0,2.98
17031843000,Census Tract 8430,1065159.0,0.0,+41.8679352,-087.7227523,2378,30.8,26.1,34.2,2378,2360,7,2329,4,1,0,0,1,0,0,0,0,0,0,0,0,0,19,18,0,0,8,0,0,0,0,5,4,1,2.66
17031843300,Census Tract 8433,584249.0,0.0,+41.8637637,-087.6925503,1228,32.5,33.1,32.0,1228,1207,190,770,8,10,6,2,2,0,0,0,0,1,1,0,0,0,228,21,0,0,3,9,58,34,24,162,102,60,3.06
17031842100,Census Tract 8421,2034641.0,0.0,+41.8952785,-087.7336103,6731,30.7,30.0,31.5,6731,6529,1239,4027,42,35,3,0,31,0,0,0,1,6,0,2,0,4,1180,202,2,1,31,82,14,6,8,0,0,0,3.38
17031802003,Census Tract 8020.03,1712234.0,0.0,+42.0795988,-087.8456411,2684,42.5,40.5,45.2,2684,2650,2036,37,0,445,161,55,57,7,145,0,20,0,0,0,0,0,132,34,3,26,0,2,0,0,0,2,1,1,2.97
17031802004,Census Tract 8020.04,1072974.0,0.0,+42.0693032,-087.8537258,5381,37.7,35.7,39.3,5381,5252,3324,200,5,1369,191,52,119,10,804,9,184,0,0,0,0,0,354,129,11,21,13,50,52,12,40,0,0,0,2.46
17031802505,Census Tract 8025.05,7053780.0,44922.0,+42.1213039,-087.9115701,6844,31.0,30.9,31.2,6844,6622,4200,262,111,767,217,48,123,4,324,4,47,1,1,0,0,0,1281,222,18,33,5,116,0,0,0,3,2,1,2.8
17031802506,Census Tract 8025.06,3711075.0,0.0,+42.1299285,-087.8977419,2508,33.7,32.8,34.7,2508,2411,1756,62,17,163,46,8,49,0,20,31,9,1,0,0,1,0,412,97,5,10,16,53,0,0,0,0,0,0,3.13
17031802609,Census Tract 8026.09,952380.0,0.0,+42.1053833,-087.8999421,6699,31.1,31.1,31.0,6699,6493,3977,154,37,930,681,34,97,2,66,8,42,0,0,0,0,0,1395,206,11,21,12,107,0,0,0,0,0,0,2.64
17031802610,Census Tract 8026.10,1279854.0,0.0,+42.0976951,-087.8954796,1729,46.0,45.2,46.9,1729,1696,1435,15,0,223,74,13,43,2,90,0,1,2,2,0,0,0,21,33,2,12,2,11,0,0,0,0,0,0,2.64
17031080201,Census Tract 802.01,135301.0,0.0,+41.9094984,-087.6310054,3287,50.9,50.1,51.5,3287,3235,2941,109,2,144,52,23,16,17,15,8,13,0,0,0,0,0,39,52,1,19,1,15,0,0,0,0,0,0,1.36
