shapeid,x,y
3,-87.844736,41.977376
,,
3,-87.844301,41.977385
,,
3,-87.843747,41.977396
,,
3,-87.842088,41.977429
,,
3,-87.84196,41.977432
,,
3,-87.841535,41.97744
,,
3,-87.841536,41.977408
,,
3,-87.841043,41.977417
,,
3,-87.839565,41.977444
,,
3,-87.839179,41.977452
,,
3,-87.839073,41.977449
,,
3,-87.838998,41.977446
,,
3,-87.83858,41.977454
,,
3,-87.83814,41.977463
,,
3,-87.837741,41.977466
,,
3,-87.837511,41.977463
,,
3,-87.837101,41.977466
,,
3,-87.836608,41.977471
,,
3,-87.836608,41.977439
,,
3,-87.83661,41.977346
,,
3,-87.836611,41.977315
,,
3,-87.836611,41.977295
,,
3,-87.836611,41.977236
,,
3,-87.836611,41.977217
,,
3,-87.836611,41.977065
,,
3,-87.836613,41.976893
,,
3,-87.836615,41.976612
,,
3,-87.836617,41.976461
,,
3,-87.836618,41.976321
,,
3,-87.836622,41.975905
,,
3,-87.836624,41.975766
,,
3,-87.836624,41.975699
,,
3,-87.836624,41.975603
,,
3,-87.836626,41.975317
,,
3,-87.836627,41.975222
,,
3,-87.836627,41.975167
,,
3,-87.836627,41.975006
,,
3,-87.836628,41.974952
,,
3,-87.836629,41.97479
,,
3,-87.841554,41.974695
,,
3,-87.841556,41.974482
,,
3,-87.841558,41.973941
,,
3,-87.841557,41.973926
,,
3,-87.84155,41.973788
,,
3,-87.841445,41.973792
,,
3,-87.841352,41.973796
,,
3,-87.841131,41.973796
,,
3,-87.841027,41.973797
,,
3,-87.840505,41.973802
,,
3,-87.840363,41.973804
,,
3,-87.838939,41.973825
,,
3,-87.838418,41.973834
,,
3,-87.838366,41.973834
,,
3,-87.838213,41.973838
,,
3,-87.838162,41.973839
,,
3,-87.838084,41.973111
,,
3,-87.83791,41.97146
,,
3,-87.837379,41.971404
,,
3,-87.836652,41.971328
,,
3,-87.836652,41.971108
,,
3,-87.836652,41.971047
,,
3,-87.836656,41.970451
,,
3,-87.836658,41.970232
,,
3,-87.836905,41.970227
,,
3,-87.836981,41.970226
,,
3,-87.837303,41.970221
,,
3,-87.837599,41.970216
,,
3,-87.837647,41.970215
,,
3,-87.837895,41.97021
,,
3,-87.838004,41.970208
,,
3,-87.838332,41.970201
,,
3,-87.838442,41.9702
,,
4,-87.633122,41.874488
,,
4,-87.633056,41.874488
,,
4,-87.632838,41.87449
,,
4,-87.63282,41.87449
,,
4,-87.632619,41.874493
,,
4,-87.632522,41.874493
,,
4,-87.632234,41.874495
,,
4,-87.632139,41.874497
,,
4,-87.632049,41.874498
,,
4,-87.631782,41.874503
,,
4,-87.631756,41.874504
,,
4,-87.631693,41.874505
,,
4,-87.631489,41.874509
,,
4,-87.631452,41.87451
,,
4,-87.63121,41.874514
,,
4,-87.630942,41.874518
,,
4,-87.630878,41.874518
,,
4,-87.630675,41.874522
,,
4,-87.630473,41.874524
,,
4,-87.6304,41.874525
,,
4,-87.630124,41.874528
,,
4,-87.629896,41.874531
,,
4,-87.62987,41.874531
,,
4,-87.629669,41.874534
,,
4,-87.629577,41.874534
,,
4,-87.629301,41.874538
,,
4,-87.62921,41.874539
,,
4,-87.629105,41.874539
,,
4,-87.62879,41.874543
,,
4,-87.628686,41.874545
,,
4,-87.628457,41.874547
,,
4,-87.628425,41.874548
,,
4,-87.628165,41.874552
,,
4,-87.627968,41.874555
,,
4,-87.627773,41.874553
,,
4,-87.627668,41.874553
,,
4,-87.627666,41.874369
,,
4,-87.627541,41.874373
,,
4,-87.627536,41.874116
,,
4,-87.627536,41.874094
,,
4,-87.627527,41.873909
,,
4,-87.62749,41.873611
,,
4,-87.627485,41.873349
,,
4,-87.627482,41.873093
,,
4,-87.627479,41.872935
,,
4,-87.627471,41.872461
,,
4,-87.627469,41.872304
,,
4,-87.627466,41.872204
,,
4,-87.627458,41.871907
,,
4,-87.627456,41.871808
,,
4,-87.627449,41.87155
,,
4,-87.62743,41.870779
,,
4,-87.627424,41.870522
,,
4,-87.627421,41.870402
,,
4,-87.627414,41.870043
,,
4,-87.627412,41.869924
,,
4,-87.627409,41.869795
,,
4,-87.627408,41.869786
,,
